@relation 'TreeWorks'
@attribute Text string
@attribute opinion {0,1}
@data
'Pentru orgoliul meu ranit fa te rog un articol despre imbecilizantele firme de asigurari care stiu doar sa incaseze bani nu si sa despagumeasca. In speta Omniasig, care mai si pretentii de austrieci corciti cu BCR-ul. Daca ai timp uite aici ultimele masaj',1
'Fratele sefei DNA Cluj face afaceri de milioane\nFratele sefei DNA Cluj face afaceri de milioane Avocatul Radu Somlea, fratele sefului DNA Cluj, procurorul Elena Botezan, face afaceri pe cai mari . Clientii avocatului Somlea sunt de la milionari in\neuro p',1
'Stimate BCR, nu gandim la fel. Eu vreau comisioane mai mici.',1
'@ Unu: \n\nmi-a soptit mie o pasarica pe la ureche cum ca BCR are o maaaare problema la capitolul portofoliu de credite .... ca si BRD-ul ..... astea 2 sunt niste bombe cu ceas pentru ca au concurat pentru a-si mentine pozitiile si au pierdut din evidenta',1
'una telefonul. Ating ecranul usor si raspund cu o mica speranta ce palpaie involuntar in camerele inimii mele. Cineva ma cauta pe mine, vrea sa vorbeasca cu mine, stie numarul meu, stie cine sunt.\nOare cine o fi?\nSpun ""Da"" si o voce feminina imi raspunde',1
'SIF Oltenia nu a vandut participatia detinuta la Banca Comerciala Romana, astfel ca, dupa o investitie de peste 37,15 milioane de lei, realizata in decembrie 2011, pachetul de actiuni detinut la BCR, la valoarea de piata calculata conform Regulamentului C',0
'Constanta, 13 august 2012 - Casieriile Enel Energie din judetul Constanta vor fi inchise miercuri, 15 august 2012 zi libera legala cu ocazia Praznicului Adormirii Maicii Domnului, urmand ca activitatea sa fie reluata conform programului obisnuit de lucru,',0
'Din seria ""sa scriem si chestii utile"" astazi va prezint un procesator de plati online extrem de cunoscut, pe care probabil nu toti romanii il folosesc. Voi incerca sa ofer detalii despre utilitatea lui, cum sa va deschideti un cont si mai ales cum sa-l a',1
'In 2009, eram clientul BCR de peste 15 ani si cand le-am cerut o linie de credit pentru firma nu a fost pe placul lor analiza financiara desi am fost un client super ok fara incidente in toti cei 15 ani incluzand acea perioada cu dobanzi uriase de peste 1',1
'incredibil la ce nivel a ajuns batalia pt ciolan,\nas rade de numa\' daca n-ar creste euroiul si num mi -ar rade bcr-ul ( astia-s mai rai ca camatarii) in nas...\nhuooo, sa muriti in puscarie cu totii puliticienii soolii.....',1
':)) RT @subiectiv: De la @cristinaursache, good one ""BCR, Banca Comunista Romana"" :))',1
