@relation 'TreeWorks'
@attribute Text string
@attribute opinion {0,1}
@data
'   In perioada 22 august   14 septembrie, Fundatia Calea Victoriei ne propune sa strangem impreuna rechizite si carti pentru copiii de la Centrul de Zi  Sfanta Sofia din Bucuresti.  In prezent, la acest centru invata, iau masa de pranz si isi petrec mare ',0
'Numarul\nconstantenilor care sunt executati silit este in crestere, potrivit \nanunturilor postate de bancile comerciale pe paginile proprii de \ninternet\nsau la sedii.\nPe site-ul BCR sunt scoase la mezat mai multe imobile, cu preturi \ncuprinse intre 18.364 ',0
'CNR Arad - Victorie muncita pentru BCR Leasing RT http://t.co/bd46MtqJ',0
'Usoara depreciere a leului\nIn asteptarea deciziei Curtii Constitutionale in privinta referendumului de suspendare a Presedintelui, investitorii din piata valutara si-au luat pozitii de protectie, ceea ce a provocat deprecierea\nusoara a leului.\nBNR a deci',0
'Pentru orgoliul meu ranit fa te rog un articol despre imbecilizantele firme de asigurari care stiu doar sa incaseze bani nu si sa despagumeasca. In speta Omniasig, care mai si pretentii de austrieci corciti cu BCR-ul. Daca ai timp uite aici ultimele masaj',1
'Victorie muncita la Raliul Aradului pentru BCR Leasing Team					 http://t.co/Z39Z3eoA #auto',0
'Raliul Aradului, cea de-a    asea etap    a Campionatului National de Raliuri Dunlop 2012, s-a desf      urat in perioada 17-18 August 2012, ca etap    comun    pentru campionatele nationale din Romania    i Ungaria, aliniind la start 65 echipaje.\ncititi ',0
'Impresionant!\nConturile deschise la BCR Sucursala Braila, unde pot fi ajutate sunt :\nSWIFT : RNCB RO BU IBAN : RO 62 RNCB 0048085555310002 pentru EURO, IBAN : RO 35 RNCB 0048085555310003 pentru USD si IBAN : RO 89 RNCB 0048085555310001 pentru RON\nVa multu',0
'Coordonator Vanzari: Nord-Vest: BCR Banca pentru Locuinte, lider pe piata instrumentelor de economisire si creditare... http://t.co/y0guCtLJ',0
'Consilier Financiar: Nord - Vest: BCR Banca pentru Locuinte, lider pe piata instrumentelor de economisire si... http://t.co/p261Z1Qu',0
'Consilier Financiar: Nord - Est: BCR Banca pentru Locuinte, lider pe piata instrumentelor de economisire si... http://t.co/cCQiGPtw',0
'Coordonator Vanzari: Nord - Est: BCR Banca pentru Locuinte, lider pe piata instrumentelor de economisire si... http://t.co/2FhIF5yN',0
'Vali Porcisteanu - Raliul Aradului 2012 Ps Nadas onboard BCR Leasing Rally Team ActionCamera shared a link. \n Vali Porcisteanu - Raliul Aradului 2012 Ps Nadas onboard',0
'Vali Porcisteanu - Raliul Aradului 2012 Ps Nadas onboard BCR Leasing Rally Team FanClub Vali Porcisteanu shared a link. \n Vali Porcisteanu - Raliul Aradului 2012 Ps Nadas onboard',0
'Victorie muncita la Raliul Aradului pentru BCR Leasing Rally Team - http://t.co/Q29uxJVs',0
'Doua titluri de Campion National asigurate, cu doua etape inainte de finalul campionatului: Edwin Keleti',0
'Topul celor mai sigure banci din Europa Centrala si de Est 2012\n Stiri Bancare Tags: banci , BCR , BRD , Global Finance , KfW , sigure banci , top banci Global Finance a actualizat lista celor mai sigure banci din lume si dat publicitatii un nou clasament',0
'Topul celor mai mari asiguratori in S1\n Stiri Bancare Tags: Allianz-Tiriac Asigurari , asiguratori , BCR Asigurari , lei , Omniasig Fuziunea BCR Asigurari cu Omniasig a propulsat compania astfel rezultata la varful clasamentului celor mai mari asiguratori',0
'omerii botosaneni pot opta, in aceasta saptamana, pentru unul din cele 66 de posturi puse la dispozitia lor de firmele botosanene, prin intermediul Agentiei Judetene pentru Ocuparea Fortei de Munca. Doar zece posturi sunt pentru cei cu studii superioare. ',0
'Castigatorul celei de-a patra etape a Raliului ProMotor este Cristian Pana, norocosul care va primi urmatoarele premii: - o pereche de ghete raliu - o pereche de manusi raliu - o sapca BCR Leasing - un tricou BCR Leasing - un mouse BCR Leasing Participa s',0
'Daca promovarea BCR Open 2012 a fost construita in jurul ideii ca armata romancelor a luat cu asalt clasamentul WTA, m-am gandit sa duc un pic mai \n http://treizecizero.ro/armata-romancelor-plusuri-si-minusuri-cum-s-au-comportat-fetele-noastre-la-bcr-open',0
'\nDescrierea cazului: \n""Fiica mea, Codrea Isabel Sonya Kassia  s-a nascut pe 2.06.2012 cu o malformatie cardiaca: atrezie de valva tricuspida. \nSingurele locuri unde se putea opera la noi in tara,Targu Mures si Cluj,ne-au refuzat din diferite motive. Cu aj',0
'Omniasig (fosta BCR Asigurari) a devansat Astra in topul subscrierilor din asigurari generale si de viata, cu venituri de 548,9 milioane de lei in primele sase luni, comparativ cu 516,7 milioane de lei in cazul fostului lider al industriei in 2011,...[ Pe',0
'Global Finance a actualizat lista celor mai sigure banci din lume si a dat publicitatii un nou clasament. In ceea ce priveste topul pentru Europa Centrala si de Est din care face parte si Romania, singura banca prinsa in clasament este BRD, care a fost po',0
'O banca din Romania este in Top 10 cele mai sigure banci din Europa Centrala si de Est\nGlobal Finance a actualizat lista celor mai sigure banci din lume si dat publicitatii un nou clasament. Intre cele mai sigure zece banci din Europa Centrala si de Est s',0
'O banca din Romania este in top 10 cele mai sigure banci din Europa Centrala si de Est\nGlobal Finance a actualizat lista celor mai sigure banci din lume si dat publicitatii un nou clasament . In ceea ce priveste regiunea din care face parte si Romania , d',0
'Raliul Aradului, cea de-a sasea etapa a Campionatului National de Raliuri Dunlop 2012, s-a desfasurat in perioada 17-18 august 2012, ca etapa comuna pentru campionatele nationale din Romania si Ungaria, aliniind la start 65 echipaje. Cu o lungime totala d',0
'Victorie pentru BCR Leasing Rally la Raliul Aradului http://t.co/kJKSWZb8',0
'Victorie pentru BCR Leasing Rally la Raliul Aradului\nRaliul Aradului, cea de-a sasea etapa a Campionatului National de Raliuri Dunlop 2012, s-a desfasurat in perioada 17-18 august 2012, ca etapa comuna pentru campionatele nationale din Romania si\nUngaria',0
'Enache Medeea Maria este singurul copil al familiei Enache; s-a nascut pe 23 noiembrie 2011 la Ploiesti.\nLa o luna si doua saptamani a fost diagnosticata cu talasemie majora (o anemie extrem de severa), o boala cumplita din cauza careia risca sa nu ajunga',0
'VICTORIE MUNCITA LA RALIUL ARADULUI PENTRU BCR LEASING RALLY TEAM\n\n	Doua titluri de Campion National asigurate, cu doua etape inainte de finalul campionatului: Edwin Keleti - clasa 3, Alex Filip - clasa 5\n	Locul intai in clasamentul pe echipe la Raliul',0
'Victorie muncita la Raliul Aradului pentru BCR Leasing Rally Team: Doua titluri de Campion National asigurate, c... http://t.co/qSxci7Wr',0
'Usoara depreciere a leului\nIn asteptarea deciziei Curtii Constitutionale in privinta Referendumului de suspendare a Presedintelui, investitorii din piata valutara si-au luat pozitii de protectie, ceea ce a provocat deprecierea\nusoara a leului.\nBNR a deci',0
'Omniasig (fosta BCR Asigurari) a devansat Astra in topul subscrierilor din asigurari generale si de viata, cu venituri de 548,9 milioane de lei in primele sase luni, comparativ cu 516,7 milioane de lei in cazul fostului lider al industriei in 2011, potriv',0
'http://www.euro-dispoline.ro\nVa asteptam in incinta showroomul-ui nostru situat in Ploiesti, Str. Gheorghe Doja (vis-a-vis de BCR), pentru a va oferi sprijin in alegerea corpurilor de iluminat pentru casa dumneavoastra.\nLa noi gasiti o gama larga de corpu',0
'BCR asked: Cum faceti rost de bani pentru vacanta?',0
'In ceea ce priveste regiunea din care face parte si Romania, daca anul trecut singura banca din tara care figura in top 10 al celor mai sigure banci a fost BCR (Banca Comerciala Romana), anul acesta BRD este cea care figureaza in top. BCR ocupa anul trecu',0
'La inceputul lunii mai, BCR Asigurari a incheiat procesul de fuziune cu Omniasig si a preluat denumirea si emblema societatii absorbite. Primele subscrise de cele doua companii au insumat anul trecut 1,2 miliarde de lei, peste rezultatul consemnat de Astr',0
'Bancile sporesc comisioanele Nu mai reusesc sa faca profit din acordarea creditelor asa ca bancherii inmultesc si majoreaza comisioanele de care se loveste orice roman care isi primeste salariul pe\ncard. Simpla detinere a unui cont in banca ne scoate din',0
'Fuziunea BCR Asigurari cu Omniasig a propulsat compania astfel rezultata la varful clasamentului celor mai mari asiguratori la sfarsitul semestrului I, primele subscrise inregistrate de ""noul"" Omniasig ridicandu-se la circa 549 mil. lei. potrivit datelor ',0
'Fuziunea BCR Asigurari cu Omniasig a propulsat compania astfel rezultata la varful clasamentului celor mai mari asiguratori la sfarsitul semestrului I, primele subscrise inregistrate de ""noul"" Omniasig ridicandu-se la circa 549 mil. lei. potrivit datelor ',0
'Pana unde mai intareste BNR leul\n			 Ajutata de contextul regional si de semnalul pozitiv de la FMI, BNR a reusit sa readuca leul la nivelul de dinaintea suspendarii presedintelui. \nLeul a recuperat in ultimele doua saptamani toata pierderea inregistrata ',0
'Fuziunea BCR Asigurari cu Omniasig a propulsat compania astfel rezultata la varful clasamentului celor mai mari asiguratori la sfarsitul semestrului I, primele subscrise inregistrate de ""noul"" Omniasig ridicandu-se la circa 549 mil. lei. potrivit datelor ',0
'Fuziunea BCR Asigurari cu Omniasig a propulsat compania astfel rezultata la varful clasamentului celor mai mari asiguratori la sfarsitul semestrului I, primele subscrise inregistrate de ""noul"" Omniasig ridicandu-se la circa 549 mil. lei. potrivit datelor ',0
'Fuziunea BCR Asigurari cu Omniasig a propulsat compania astfel rezultata la varful clasamentului celor mai mari asiguratori la sfarsitul semestrului I, primele subscrise inregistrate de ""noul"" Omniasig ridicandu-se la circa 549 mil. lei. potrivit datelor ',0
'Fuziunea BCR Asigurari cu Omniasig a propulsat compania astfel rezultata la varful clasamentului celor mai mari asiguratori la sfarsitul semestrului I, primele subscrise inregistrate de ""noul"" Omniasig ridicandu-se la ci...',0
'Citeste si: 									BNR nu poate ignora presiunea cursului pe creditele in valuta. Leul recastiga peste 3% din pierderea fata de euro 									In criza, Europa de Est vede jumatatea plina a paharului - analiza 									BCR: Leul ...',0
'Veniturile din tranzactii valori mobiliare au urcat puternic, de la 5,5 milioane lei la 71,2 milioane lei (16,2 milioane euro), evolutia fiind sustinuta in principal de tranzactia BCR- Erste, potrivit informatiilor din raportul semestrial al societatii de',0
'ProCredit Bank, BRD, CEC Bank, BCR, Banca Transilvania, UniCredit Tiriac Bank, Banca Carpatica, Banca Centrala Cooperatista Creditcoop, OTP Bank, Intesa Sanpaolo si Bancpost vor acorda credite pentru\nagricultori in baza adeverintelor eliberate de APIA cu',0
'ProCredit Bank, BRD, CEC Bank, BCR, Banca Transilvania, UniCredit Tiriac Bank, Banca Carpatica, Banca Centrala Cooperatista Creditcoop, OTP Bank, Intesa Sanpaolo si Bancpost vor acorda credite pentru agricultori in baza adeverintelor eliberate de APIA cu ',0
'BCR TE PROMOVEAZA-nu iti va parea rau: Daca doresti sa lucrezi intr-un domeniu dinamic si competitiv, alatura-te... http://t.co/554e1q1c',0
