@relation 'TreeWorks'
@attribute Text string
@attribute opinion {0,1}
@data
'Am fost si eu, in tineretile mele, haios. Si-am fost si romantic. Era o vreme cand chiar credeam in love love si femeia visurilor mele. Ba mai mult, mi-a trecut prin cap sa ma insor. Copil prost, ma, nu aruncati cu pietre.\nIntre timp, avem in Maka un mix',0
'Asa cum va spuneam aici, fac parte din juriul pentru a alege cel mai romantic sau cel mai amuzant BlogJuan.\n\nRomantismul pentru mine vine din simplitate si naturalete. Petale de trandafiri, lumanari sau alte chestii de genul acesta nu ma mai impresionea',0
'Copila de litere, de mica alerg dupa mirosul de foi tiparite cu cerneala neagra, pe care le auzeam fosnind mai ales in serile ploioase, cand, sub lumini slabe, acasa se citea mult si pana tarziu in noapte. Mereu m-am intrebat daca nu cumva ai mei m-au con',0
'Pare-se ca guturaiul aduce la suprafata, cat se poate de intens, ceva momente de auto-analiza. Ar fi pacat sa pierd ocazia.\n\nPrefer nuantele. Ignor excesele. Rad cu pofta. Nu fac parte dintre cei care isi petrec ceasurile de veghe intrebandu-se daca exi',0
'Romantismul pare sa fi devenit, in societatea actuala, mai degraba motiv de zeflemea. Sa te declari romantic este ca si cum i-ai invita pe cei din jur sa te considere o fire slaba, sa te ia peste picior si sa incerce sa faca podelele sa straluceasca, cu a',0
'Daca ar fi sa spun o poveste de dragoste, n-as incepe niciodata cum a facut-o el. Daca as face trimiteri in cadrul aceluiasi text, nu as face-o niciodata cu atat de multe linkuri cum a facut-o el. Daca as face trimiteri in acelasi text la alte texte, m-as',0
'A fost munca grea, caci jurizarea obiectiva nu e tocmai simpla. Poate de aceea am amanat pana in ultima zi verdictul personal in ce priveste batalia romanticilor cu amuzantii.\nLa modul general prefer oricand romanticii, desi in ultimele zile am fost puti',0
'\nOpen publication - Free publishing\n\nAcum cateva luni am participat la concursul BlogJuan unde din pacate n-am reusit sa castig nimic, asa este la inceput, pana mai capat ceva experienta. Dar dupa acest concurs am fost contactat de Elena Ciric ca sa fac p',0
'Pe muchia unui zambet\n2 file cu poeziile lui John Keats, rupte dintr-un volum vechi al Bibliotecii, lasate intr-un caiet de matematica cu tot cu tema rezolvata pentru a doua zi; 31 de trandafiri albi legati cu panglici colorate, intr-o zi de iarna ca-n p',0
'Am zis ca n-am sa mai scriu niciun articol pentru #blogjuan, ei uite asta e ultimul. Vad ca incepe un nou trend pe twitter, cum ca astia amuzantii ar avea nu stiu ce avantaje. Mai copii, hai sa fim seriosi, romanticii au mult mai multe avantaje decat voi ',0
'Zici ca esti romantic? Atunci iti recomand 6 melodii pentru romanticul din tine!\n\nDaca vrei sa intri in atmosfera, asculta aici melodia lui Igor Krutoy\n\nIgor (Yakovlevich) Krutoy e un tip de treaba si chiar daca nu suntem chiar prieteni la catarama, e',0
'M-am apucat sa scriu ..ca o terapie-desi mizgalesc de cind ma stiu texte care mai de care mai pline de patetism (sint patetica , recunosc !)incet , cu fraze lungi , foarte atenta la continut ,pot sa citesc de o suta de ori materialul  tot imi vor scapa ni',0
'Inainte sa citesti ce-am de zis, apasa play la melodia asta. Eu deja o am pusa pe repeat.\n\nMultumita concursului #blogjuan mi-am adus aminte niste chestii care nu doar ca m-au facut sa zambesc dar si sa realizez cat sunt de norocos pentru ca sunt alatur',0
