@relation 'TreeWorks'
@attribute Text string
@attribute opinion {0,1}
@data
'Mai este putin, atat de putin, pana vom afla care este destinatia #BlogJuan "" Paris sau Amsterdam. In mintea mea, speram ca vor fi mult mai multi bloggeri romantici. Speram ca de data aceasta amuzantii se vor pondera, pentru a lasa loc liber romanticilor.',0
'Inca de cand am aflat de campania pornita de Danone in care noi, blogeritele, eram transformate in juriu si rugate sa scriem despre preferatul nostru dintre cei zece finalisti ai concursului, adica despre un #BlogJuan amuzant sau romantic, am stiut ca nu ',0
'\n2011 a fost un an plin pentru blogosfera. O serie de branduri noi au ales sa desfasoare campanii online prin intermediul blogurilor. Asta a constituit in acelasi timp si un lucru bun, si un lucru rau. Un lucru bun , pentru ca a crescut felia pentru blogg',1
'Să-nţeleg că eşti o fiinţă bună la suflet şi susţii handipaţii... RT @NelidaMustafa a câştigat blogjuan-ul susţinut de mine. Augustin Radu',1
'@makavelis Zbor peste Transilvania. :)) Glumesc. Mie mi-au plăcut enorm de mult Redescoperă România, Blog Juan, Obiceiuri Sanatoase etc. :)',1
'RT @emi_ba: Dacă lovesti un copil ai vocatie de președinte, dacă lovesti doi ai vocatie de #blogjuan',1
'Dacă lovesti un copil ai vocatie de președinte, dacă lovesti doi ai vocatie de #blogjuan',1
'\ndiv.img\n{\n  height:auto;  \n  width: 25%;\n  float: left;\n  text-align: center;\n}	\n\ndiv.img img\n{\n  display: inline;\n  margin: 2px;\n  height:auto;\n  width: auto;\n  border: 1px solid #ffffff;\n}\ndiv.img a:hover img {border: 1px solid #0000ff',0
'a  pentru c   e un vis  tor profesionist.   i un antreprenor cu capul in nori. Pleac   din Yellowish in vacan     la Amsterdam cu titlul onorific de Blogjuan Amuzant. Noi r  manem cu Danone Cremosso Tiramissu.   Iuhuuu, felicitari, Augustin!!A     Invarte',0
'Bai, sa ma cac in iaurtul vostru ca mi-ati terminat creierii cu obiceiurisanatoase si blogjuan.Iaurtul asta al vostru merge cu piscot???',1
'Treaba asta cuA #blogjuan-ul a luat amploare zilele astea   i, de  i eu nu v  d nicio leg  tur   intre iaurt   i romantism sau amuzament, mi-am f  cut curaj   i am citit cateva din articole, dar mi se pare c   nimeni nu folosit o abordare foarte original ',1
'RT @emilzice: mda. oricum, o păcăleală de concurs RT @mihaiteodorescu: Rad cu lacrimi de #blogjuan http://t.co/21L3MsvK',1
'mda. oricum, o păcăleală de concurs RT @mihaiteodorescu: Rad cu lacrimi de #blogjuan http://t.co/21L3MsvK',1
'this is hilarious. @augustinradu nu ar fi trebuit sa castige #blogjuan http://t.co/deFDEgOh',1
'this is hilarious. @augustinradu nu ar fi trebuit sa castige #blogjuan http://t.co/Sqwl7L21',1
'Imi place sa rad. Mult! Si apoi sa mai rad o tura. Asa ca aleg, fara sa stau pe ganduri, un amuzant pentru a castiga #BlogJuan E o strategie in alegerea tipului. Amuzantul poate fi oricand si romantic, viceversa nu prea merge in mod natural.... Ha! ha! ai',0
'RT @mihaiteodorescu: Rad cu lacrimi de #blogjuan http://t.co/L6462PmG',1
'Rad cu lacrimi de #blogjuan http://t.co/u3mFvAqE',1
'Eu nu cred ca uniunea temporara dintre Amsterdam si omul de mai jos ar trebui sa aiba loc. Sau ca fetele ar fi trebuit sa voteze acest zambet cu cipilica si esarfa. De ce? Ei, dragii babei, sa va spun o istorioara amuzanta in mai putin de 10.000 de caract',1
'Am ajuns la finalul campaniei Danone Cremosso, iar azi e o zi buna ca sa anuntam #BlogJuan-ul, castigatorul si detinatorul acestui titlu pana la urmatoarea provocare!  \nLe multumim tuturor bloggerilor, twitteristilor si utilizatorilor de Facebook care s-a',0
'Excelent! Felicitari, Alex! RT @AlexDimaPhoto: Multumiri din suflet! Am învătat multe! #blogjuan http://t.co/2gOb2RoO',0
'Multumiri din suflet! Am învătat multe! #blogjuan http://t.co/z19DmquN',0
'Sa stii ca da RT @augustinradu: felicitari @aurasmihai si lui @adrianciubotaru pentru felul in care si-au pastorit concurentii la #blogjuan',0
'Felicitări, @augustinradu; poate mâine dimineată o să fie @vasilemanu RT @ElenaCiric: #BlogJuan-ul votat de bloggeriţe… http://t.co/sjI7iV6Q',0
'@augustinradu ma duc maine la Amsterdam, sa-ti aduc ceva? :) Felicitari #blogjuan',0
'RT @adrianciubotaru: RT @ElenaCiric: #BlogJuan-ul votat de bloggeriţe este… http://t.co/QqzRThPc Felicitari tuturor!!',0
'RT @adrianciubotaru: RT @ElenaCiric: #BlogJuan-ul votat de bloggeriţe este… http://t.co/QqzRThPc Felicitari tuturor!!',0
'RT @ElenaCiric: #BlogJuan-ul votat de bloggeriţe este… http://t.co/QqzRThPc Felicitari tuturor!!',0
'RT @augustinradu: felicitari @aurasmihai si lui @adrianciubotaru pentru felul in care si-au pastorit concurentii la #blogjuan',0
'felicitari @aurasmihai si lui @adrianciubotaru pentru felul in care si-au pastorit concurentii la #blogjuan',0
'RT @augustinradu: @OviSirb ca sa zic ca la fotbal: ""ai fost un adversar redutabil"":) #blogjuan a devenit un etalon de fairplay al concur ...',0
'RT @augustinradu: @OviSirb ca sa zic ca la fotbal: ""ai fost un adversar redutabil"":) #blogjuan a devenit un etalon de fairplay al concur ...',0
'Felicitari! :) RT @carmen_rusu: RT @ElenaCiric: #BlogJuan-ul votat de bloggeriţe este… http://t.co/wwJSBAHF Felicitari tuturor!!',0
'RT @ElenaCiric: #BlogJuan-ul votat de bloggeriţe este… http://t.co/o3Qe3Gka Felicitari tuturor!!',0
'@OviSirb ca sa zic ca la fotbal: ""ai fost un adversar redutabil"":) #blogjuan a devenit un etalon de fairplay al concursurilor pe bloguri',0
'Bravo Augustin Radu #blogjuan',0
'+1, nu fi pocait! RT @jorjh felicitari @augustinradu pentru titlul de #blogjuan! astept un colet cu ceva bun din Amsterdam :))',0
'felicitari @augustinradu pentru titlul de #blogjuan! astept un colet cu ceva bun din Amsterdam :))',0
'Si unde aflam si noi nr. de voturi de la #blogjuan? Sau e campanie din aia in care s-a stiut de la inceput cine castiga?',1
'Si unde aflam si noi nr. de voturi de la #blogjuan? Sau e campanie din aia in care s-a stiut de la inceptu cine castiga?',1
'RT @miruna_sfia: Felicitaaaari, @augustinradu! :D #blogjuan',0
'Felicitaaaari, @augustinradu! :D #blogjuan',0
'felicitari  @augustinradu #blogjuan',0
'hehehe, amuzantii FTW! Felicitari @augustinradu! #blogjuan',0
'si castiga @augustinradu :) RT @ElenaCiric: #BlogJuan-ul votat de bloggeriţe este… http://t.co/q2MyGbvE Felicitari tuturor!!',0
'Felicitări câștigătorilor, participantilor și organizatorilor #blogjuan!! :) http://t.co/uzBCE1cn',0
'No doubt!:)) RT @nebuloasa: RT @ElenaCiric: #BlogJuan-ul votat de bloggeriţe este… http://t.co/4mCYIvuI Felicitari tuturor!!',0
'@augustinradu sa cresti mare!!!!! RT @ElenaCiric: #BlogJuan-ul votat de bloggeriţe este… bit.ly/ti50gU Felicitari tuturor!!',0
'Tadaaa! RT @aurasmihai: Aplauze! RT @ElenaCiric: #BlogJuan-ul votat de bloggeriţe este… http://t.co/OuKagB68 Felicitari tuturor!!',0
'RT @ElenaCiric: #BlogJuan-ul votat de bloggeriţe este… http://t.co/26nONAh4 Felicitari tuturor!!',0
'RT @ElenaCiric: #BlogJuan-ul votat de bloggeriţe este… http://t.co/cxL6sned Felicitari tuturor!!',0
'Aplauze! RT @ElenaCiric: #BlogJuan-ul votat de bloggeriţe este… http://t.co/xPDA4Wkq Felicitari tuturor!!',0
'#BlogJuan-ul votat de bloggeriţe este… http://t.co/26nONAh4 Felicitari tuturor!!',0
'#BlogJuan-ul votat de bloggeriţe este… http://t.co/BKWIXqLD Felicitari tuturor!!',0
'http://andreeaburlacu.ro/2011/11/14/blogjuan.html',0
