@relation 'TreeWorks'
@attribute Text string
@attribute opinion {0,1}
@data
'A fost munca grea, caci jurizarea obiectiva nu e tocmai simpla. Poate de aceea am amanat pana in ultima zi verdictul personal in ce priveste batalia romanticilor cu amuzantii.\nLa modul general prefer oricand romanticii, desi in ultimele zile am fost puti',0
'Pe muchia unui zambet\n2 file cu poeziile lui John Keats, rupte dintr-un volum vechi al Bibliotecii, lasate intr-un caiet de matematica cu tot cu tema rezolvata pentru a doua zi; 31 de trandafiri albi legati cu panglici colorate, intr-o zi de iarna ca-n p',0
'Inca de cand am aflat de campania pornita de Danone in care noi, blogeritele, eram transformate in juriu si rugate sa scriem despre preferatul nostru dintre cei zece finalisti ai concursului, adica despre un #BlogJuan amuzant sau romantic, am stiut ca nu ',0
'O intrebare foarte grea. Pot sa spun ca fac parte din categoria baietilor  amuzanti. Nu ma vad  prea romantic ... sau poate sunt romantic si nu imi dau  seama. Sa va zic eu cam ce ar  prefera fetele.\n\nCred ca prefera un baiat amuzant, care  le faca sa r',0
'Romantic, sau Amuzant? Eu vreau sa cred ca putin din amandoua. Dar in cazul de fata vreau sa cred ca sunt amuzant (se poate vedea in postarile mele care au ca si categorie Romanii au talent"") pentru ca as vrea sa jung la Amsterdam unde fara sa vrei devii ',0
'Raspunsul devine dificil atunci cand alegi una din atributii iar cealalta dispare complet. Cate fete nu ar vrea un pic mai mult din amandoua?\nFara introducere siropoasa aleg a doua varianta: amuzant. Acum, nu va asteptati sa va tavaliti de ras citind ace',0
'Voi incepe intai cu ceea ce imi doresc in 2012: - sa trec cu bine bac-ul si admiterea, - sa reusesc sa ma angajez la radio(pentru ca asta m-ar ajuta enorm in cariera mea de jurnalist) - sa ma pot implica in cat mai multe campanii si activitati sociale si ',0
'Dupa mult asteptata pauza de cafea datatoare de energii nebanuite, a inceput a doua conferinta cu Manafu. Aceasta a fost dedicata companiilor.Ca sa intelegem mai bine ce inseamna o criza de imagine, Cristian Manafu l-a scos din sala pe domnul Cristian Chi',0
'                           \n         Ca de fiecare data, atunci cand fac ceva pentru noi, trebuie sa-i  fac si lui ceva bun, asa ca i-am facut si lui o prajiturica pe care a  papat-o cu o pofta!!!Ingrediente:1 ouun praf de sareun cubulet de unt1/2  iaurt',0
'eu i-am primit azi,sunt minunati....multemsc Cremosso si Sarbatori Fericite tuturor.',1
'Multumesc mult pentru minunatul premiu Cremosso Romania,a venit ieri cu posta!',1
'buna seara cremosso romania. Cand primesc premiul? Celelalte fete au primit premiile. Si va invit duminica in sectorul 6 la sala rapid calea giulesti nr 18 la o coregrafie. Dansam si coregrafia e grea dar va invit sa vedeti coregrafia. Si nu ma plang. Ast',0
'Multumesc mult Cremosso,azi am primit cerceii...sunt superbi.Sper ca si la urmatorul concurs sa fiu printre castigatori dar pana atunci ma rasfat cu gustoasele iaurturi de la Cremosso. O seara buna,multumesc mult.',1
'astazi am primit si eu cercelusii ! multumesc mult Cremosso Romania ,sunt superbi !',1
'MULTUMESC CREMOSSO ,AZI AM PRIMIT CERCEII SUNT SUPERBI.SARBATORI FERICITE LA TOATA LUMEA',1
'Multumesc Cremosso, azi am primit cerceii.',1
'Multumesc Cremoso pentru premiu!!! Primul cadou castigat si este minunat!!! Multumesc si va doresc Sarbatori fericite si pline de cadouri!!! Asa cum ne-ati adus si voi noua!!',1
'Imi doresc , mult iaurt cremosso :*',1
'Mie mi-au placut ambele cremosso... insa totul depinde de stare.Imi place cremosso tarta de lamaie cand simt nevoia sa ma incarc cu energie si am nevoie de ceva revigorant si adorrrrrr cremosso tiramisu(inclusiv seara inainte de culcare) cand simt nevoia ',1
'Multumesc! Voi lua in excursie cu mine pe cremosso Tarta cu lamaie si bineinteles pe Tiramisu caci mi-au purtat noroc. Pozele dupa ce ne intoarcem din Cipru. :)',1
'Draga Cremosso azi au ajuns cerceii mei! va multumesc!! va puup cu drag:*',1
'castigatorul excursiei e foarte foarte fericit si asteapta sa fie contactat cat mai curand pentru a intra in posesia premiului...:) se pare ca mos craciun anul acesta a purtat numele de cremosso :) Drept recunostinta pt. mos Cremosso nu va neglija nici cr',0
'Draga, Dumitru\nMai multe despre marele castigator al concursului Cremosso gasesti aici www.cremosso.ro. Seara frumoasa!',0
