@relation 'TreeWorks'
@attribute Text string
@attribute opinion {0,1}
@data
'\nFinalul anului e aproape, asa ca mai ramane timp doar sa ne gandim la cat alcool vom bea in noaptea de Revelion. Cum se face si e frumos, intai va urez un La multi ani si sa aveti parte de un an nou mai bun!  \nApoi trag linie dupa 2011 si fac o lista cu ',0
'Israelienii de la Tnuva renunta la operatiunile din Romania - prima investitie in strainatate a firmei -, dupa ce au acumulat in sase ani pierderi de circa 80 milioane de euro la un volum al investitiilor de 60 milioane de euro. Decizia este cauzata de co',0
'Multumim Companiei Danone pentru ca l-a ajutat pe Mos Craciun sa aduca cadourile potrivite copiilor si tinerilor internati pe sectiile de onco-pediatrie din Institutul Oncologic Bucuresti si Spitalul de Copii Marie Curie! Va dorim tuturor un An Nou ferici',1
'Multumim Companiei Danone pentru bucuriile de Craciun',1
'Mulţumesc pentru cadouri: \n		Într-o ordine oarecare: Vodafone, Danone, Nescafe, Panasonic, Nokia, Prestigio, Sta... http://t.co/FbgF2iq7',1
'Intr-o ordine oarecare: Vodafone, Danone, Nescafe, Panasonic, Nokia, Prestigio, Standout, Red Bull, Pepsi, MXShop, eMag, Okian, Evomag, iLeo, Imagistica, Gusto, Delaco, F64, The Practice, Graffiti PR, RMGC, McCann PR, Petrom, Webstyler, Euromotor, Sony, E',1
'Ce ar fi daca marile firme ar produce prezervative?\n\nPrezervative NIKE: Just do it.\nPrezervative Pepsi: Ask for more.\nPrezervative Pringles: Faci o data pop, nu poti face stop.\n... Prezervative M&M: Ti se topesc in gura si nu in mina.\nPrezervative Visa: N',0
'Ce ar fi daca marile firme ar produce prezervative?\n\n Prezervative NIKE: Just do it.\n Prezervative Pepsi: Ask for more.\n Prezervative Pringles: Faci o data pop, nu poti face stop.\n Prezervative M&M: Ti se topesc in gura si nu in mina.\n Prezervative Visa: ',0
'Ce ar fi daca marile firme ar produce prezervative?\n\nPrezervative NIKE: Just do it.\nPrezervative Pepsi: Ask for more.\nPrezervative Pringles: Faci o data pop, nu poti face stop.\nPrezervative M&M: Ti se topesc in gura si nu in mina.\nPrezervative Visa: Nu ie',0
'La Social Media Snow Camp, am prezentat - printre altele - 4 tendinte majore pe care le-am identificat in blogosfera in 2011. Le pun acum, la final de an, in acest post, fiind si tendintele care vor defini blogging-ul local si in 2012.\nPrograme complexe \n',0
'Sa stii sa oferi un cadou este o arta. Felul in care te pregatesti (poate chiar din timp) pentru a face gestul minutios, felul cum il alegi, cum il ambalezi, iscusinta inmanarii cadoului, toate astea spun foarte multe despre felul fiecaruia de-a fi.\nMos b',0
'Prezervative NIKE: Just do it.\nPrezervative Pepsi: Ask for more.\nPrezervative Pringles: Faci o data pop, nu poti face stop.\nPrezervative M&M: Ti se topesc in gura si nu in mina.\nPrezervative Visa: Nu iesi din casa fara el.\nPrezervative Yahoo: Do you Yahoo',0
