@relation 'TreeWorks'
@attribute Text string
@attribute opinion {0,1}
@data
'@mirceams plus ca la preturi similare cu Fratelli beach, serviciul e, politicos spus, indiferent.',0
'Noble Securities este partener pentru promovarea si sustinerea licitatiei Artmark de masini de colectie, sports memorabilia, sampanii si vinuri de colectie. Licitatia este unicat in Romania: 21 de masini, plus obiecte ale unor sportivi de talie mondiala s',0
'Vinerea trecuta, Shantel si Bucovina Club Orkestar au fost invitati speciali la o super-petrecere organizata de Fratelli Beach & Club Mamaia si Peroni Italy. Petrecerile legendare din Fratelli sunt arhicunoscute, dar bunul gust si elegantul stil italian s',0
'This Friday we present a unique event in Fratelli Beach & Club Mamaia!\n Pimp my Converse  is a fresh design show... http://t.co/v76GR4b0',0
'Dear Friends, This Friday, the 24th of August, we present a unique event in Fratelli Beach & Club Mamaia! ""Pimp my Converse"" \n http://www.fratelli.ro/events/fratelli-beachclub/pimp-my-converse-in-fratelli-beach-club-mamaia/ \nPIMP MY CONVERSE in FRATELLI B',0
'Saturday at 11:30pm at Fratelli Beach & Club \n http://www.facebook.com/events/396038683783651/ \nLet\'s Mykonos! \nLet\'s Mykonoooooos this Saturday, the 25th of August, in Fratelli Beach & Club Mamaia! Our friend, Dj Pete is back for another amazing party pr',0
'Acasa Stiri calde Este scos la licitatie tricoul cu autograful lui Cristi Chivu\nEste scos la licitatie tricoul cu autograful lui Cristi Chivu\nhttp://www.ziuaconstanta.ro/stiri-calde/stiri-calde/este-scos-la-licitatie-tricoul-cu-autograful-lui-cristi-chivu',0
'Se intampla duminica aceasta in Clubul Fratelli din Mamaia:\nhttp://www.artmark.ro/2012/08/pivnita-restaurantului-heritage-alaturi-de-obiectele-marilor-campioni-in-licitatia-sports-memorabilia-si-licitatia-de-sampanii-si-vinuri-de-colectie/',0
'Timp de patru zile, Artmark incinge ringul clubului Fratelli din Mamaia la turatie maxima: 2000 de cai putere vor atrage VIP-urile si publicul cu ocazia primei licitatii romanesti de Masini de Colectie. \n http://www.forbes.ro/Artmark-organizeaza-la-mamaia',0
'Good morning! Our chefs from Flavours Food Design are always ready to offer you a healthy lunch! Visit daily our restaurant in Fratelli Beach & Club Mamaia!',0
'Dear Friends,\nLet s Mykonos this Saturday , the 25th of August , in Fratelli Beach & Club Mamaia !\nWith so many grand names to choose from, it was hard to decide who will be the star of this amazing party!\nWe wanted someone with style to guide our feet on',0
