@relation 'TreeWorks'
@attribute Text string
@attribute opinion {0,1}
@data
'Andrei, discutam permanent cu cei de la UPC. Le-am spus de problema asta, zic ca nu au reclamatii si ca se vede peste tot. Lasa-mi te rog un mesaj cu adresa ta, pe dragos@altphel.ro si vorbesc eu la UPC sa vina sa constate. Ei spun ca poate sa fie de la r',0
'Sa-ti mai spun inca o data ca la UPC, cel putin la mine, nu mai e Prahova TV? Pe digital sigur, pe analogic nu am mai verificat. Hai sa-ti mai zic; prahova TV nu se mai vede la televizorul meu conectat la cablul de la UPC, pe digital. Bine, pe de alta par',0
'a€‹RETROSPECTIVA Anul 2011 a scuturat din temelii piata media din Romania\nNici un mare trust de presa din Romania nu a scapat neatins de schimbare in 2011. Ruptura de la Realitatea, post pe care Elan Schwartzenberg l-a preluat de la Sorin Ovidiu Vantu',0
'Urmatorul material video mi s-a parut foarte interesant. Cat de documentat este, nu stiu. Apare pe canalul WeAreUPC, care, da, are legatura cu UPC, companie prezenta si in Romania. Aflam cand a aparut televiziunea, cum au evoluat costurile (de aceea exist',0
'Politicienii si populismul lor patriotard\nPropunerea unui parlamentar de a introduce obligativitatea intonarii imnului in scoli a iscat vii dezbateri. Politicienii normal ca sunt de acord cu astfel de idei, le va fi mai usor sa abata\ndiscursul public cat',0
'Nici un mare trust de presa din Romania nu a scapat neatins de schimbare in 2011. Ruptura de la Realitatea, post pe care Elan Schwartzenberg l-a preluat de la Sorin Ovidiu Vantu, s-a suprapus cu mutatii in structura Intact si replierea afacerii Adevarul H',0
'Evaluare job la firma UPC ROMANIA, Cluj - #Cluj-Napoca. http://t.co/j1VU9Lxg #DespreFirme',0
'Nici un mare trust de presa din Romania nu a scapat neatins de schimbare in 2011. Ruptura de la Realitatea, post pe care Elan Schwartzenberg l-a preluat de la Sorin Ovidiu Vantu, s-a suprapus cu mutatii in structura Intact si replierea afacerii Adevarul H',0
'Cele mai influente inventii din lume...\n\n\nTehnologia ne ajuta la indeplinirea unor sarcini si ne face existenta mai usoara. Daca unele inventii din acest domeniu au o intrebuintare mai restransa, altele sunt atat de raspandite, incat le percepem ca facand',0
'a€‹RETROSPECTIVA Anul 2011 a scuturat din temelii piata media din Romania\nSchwartzenberg, Vintu si Ghita si-au disputat Realitatea TV in 2011\nFoto: Colaj / Sursa: Agerpres\nNici un mare trust de presa din Romania nu a scapat neatins de schimbare in 201',0
'http://www.zf.ro/business-hi-tech/patru-subiecte-de-urmarit-in-telecom-in-2012-rcs-rds-cu-sau-fara-upc-listarea-romtelecom-si-fuziunea-cu-cosmote-licitatia-pentru-spectrul-radio-9109810 \nPatru subiecte de urmarit in telecom in 2012: RCS&RDS - cu sau fara ',0
'Evaluare job la firma UPC ROMANIA, Cluj - #Cluj- Napoca. http://t.co/uvUM74MO #DespreFirme',0
'Evaluare job la firma UPC ROMANIA, Cluj - #Cluj-Napoca. http://t.co/QSLEQiAv #DespreFirme',0
'La ce sa ne asteptam in 2012 pe piata telecom: Se mai face tranzactia RCS RDS - UPC?\nAchizitia companiei de cablu UPC Romania de catre firma romaneasca RCS&amp;RDS, subiectul care a provocat valuri in acest an pe piata locala de comunicatii, ramane o tema',1
'La ce sa ne asteptam in 2012 pe piata telecom: Creste si mai mult dominatia RCS RDS pe piata din Romania? Castiga Teszari pariul extinderii in Ungaria?\nIndependent de discutiile cu UPC privind o eventuala preluare a operatiunilor din Romania, RCS&amp;RDS ',1
'Anul 2012 se anunta unul plin de evenimente pe piata telecom din Romania, cu o valoare de aproape patru miliarde de euro pe an: mai multe fuziuni / achizitii sunt in faza de discutii / negociere iar licitatia pentru licentele de telefonie mobila care va a',1
'Achizitia companiei de cablu UPC Romania de catre firma romaneasca RCS&RDS, subiectul care a provocat valuri in acest an pe piata locala de comunicatii, ramane o tema de interes si in noul an in conditiile in care pe piata nu exista momentan semnale certe',1
