@relation 'TreeWorks'
@attribute Text string
@attribute opinion {0,1}
@data
'La ce sa ne asteptam in 2012 pe piata telecom: Se mai face tranzactia RCS RDS - UPC?\nAchizitia companiei de cablu UPC Romania de catre firma romaneasca RCS&amp;RDS, subiectul care a provocat valuri in acest an pe piata locala de comunicatii, ramane o tema',1
'La ce sa ne asteptam in 2012 pe piata telecom: Creste si mai mult dominatia RCS RDS pe piata din Romania? Castiga Teszari pariul extinderii in Ungaria?\nIndependent de discutiile cu UPC privind o eventuala preluare a operatiunilor din Romania, RCS&amp;RDS ',1
'Anul 2012 se anunta unul plin de evenimente pe piata telecom din Romania, cu o valoare de aproape patru miliarde de euro pe an: mai multe fuziuni / achizitii sunt in faza de discutii / negociere iar licitatia pentru licentele de telefonie mobila care va a',1
'Achizitia companiei de cablu UPC Romania de catre firma romaneasca RCS&RDS, subiectul care a provocat valuri in acest an pe piata locala de comunicatii, ramane o tema de interes si in noul an in conditiile in care pe piata nu exista momentan semnale certe',1
'Independent de discutiile cu UPC privind o eventuala preluare a operatiunilor din Romania, RCS&RDS va fi si in anul 2012 in centrul atentiei in conditiile in care operatorul are in fata mai multe evenimente cheie, de care va depinde puternic evolutia sa i',1
'Anul 2012 se anunta unul plin de evenimente pe piata telecom din Romania, cu o valoare de aproape patru miliarde de euro pe an: mai multe fuziuni / achizitii sunt in faza de discutii / negociere iar licitatia pentru licentele de telefonie mobila care va a',1
'Anul 2012 se anunta unul plin de evenimente pe piata telecom din Romania, cu o valoare de aproape patru miliarde de euro pe an: mai multe fuziuni / achizitii sunt in faza de discutii / negociere iar licitatia pentru licentele de t...',1
'Independent de discutiile cu UPC privind o eventuala preluare a operatiunilor din Romania, RCS&RDS va fi si in anul 2012 in centrul atentiei in conditiile in care operatorul are in fata mai multe evenimente cheie, de care va depin...',1
'Tumblr in continuare nu merge celor de pe UPC',1
'RT @lucianmarin: De fiecare dată cei de la UPC mă întreabă ce sistem de operare am pe laptop. Se uită la el de parcă văd un OZN. Încă es ...',1
'Vezi la Erdeyesh, astia-s de departe cei mai buni pe Internet - raport calitate/pret. Greco-romanii sunt primii, intr-adevar, pe telefonie (fixa), dar in materie de TV lasa de dorit, iar clicknetu  ala al lor nu-l recomand sub nici o forma. Dar acum, na, ',1
'Mi-#apicat netul de mitnet si cablu de la upc acum 2 ore. De ce sunt astea 2 legate?',1
