@relation 'TreeWorks'
@attribute Text string
@attribute opinion {0,1}
@data
'\nO sa incep cu Salonul International de carte Bookfest 2012 , care a inceput pe 30 mai 2012 si care ne promite 300 de evenimente si cinema de arta gratuit in cele 5  zile ale targului. Gasiti aici programul general al evenimentelor, la care trebuie sa par',0
'Ursus Evolution http://t.co/GjtljVhw',0
'\n\n\n\nBucuresti - Lexus este masina oficiala in cadrul training-ului certificat Marketing 3.0, sustinut de Prof. Philip Kotler\npe 1 Iunie, la Ateneul Roman. In baza unui parteneriat, Lexus Romania, pune la\ndispozitia ""parintelui marketingului"" un auto',0
'Lexus este masina oficiala in cadrul training-ului certificat Marketing 3.0, sustinut de Prof. Philip Kotler pe 1 Iunie, la Ateneul Roman. In baza unui parteneriat, Lexus Romania pune la dispozitia ""parintelui marketingului"" un automobil Lexus RX 450h, do',0
'A mai ramas o zi pana la deschiderea oficiala a celei de-a 11-a editii a Festivalului International de Film Transilvania . Maine, pe 1 iunie, de la 20.45, in Ursus Open Air (Piata Unirii) din Cluj, TIFF 2012 debuteaza oficial cu doua premiere: la 110 ani ',0
'I\'m at Fabrica de Bere Ursus (Cluj-Napoca, Cluj) http://t.co/ICSit7lZ',0
'http://www.facebook.com/UrsusRomania URSUS Evolution prezinta evolutia muzicii romanesti la GuerriLIVE http://www.ursus.ro/ http://www.twitter.com/ursusromania \n Alexandrina - Un, deux, trois @ GuerriLIVE Radio Session \nUn, deux, trois...',0
'Lexus - masina oficiala a evenimentului Marketing 3.0\nLexus este masina oficiala in cadrul training-ului certificat Marketing 3.0, sustinut de Prof. Philip Kotler pe 1 Iunie, la Ateneul Roman. In baza unui parteneriat, Lexus Romania pune la dispozitia\npa',0
'Despre oameni si melci - afis\nA mai ramas o zi pana la deschiderea oficiala a celei de-a 11-a editii a Festivalului International de Film Transilvania. Maine, pe 1 iunie, de la 20.45, in Ursus Open Air (Piata Unirii) din Cluj,\nTIFF 2012 debuteaza oficial',0
'Regele berii in Romania \n http://www.facebook.com/UrsusRomania \nUrsus \nCa sa dati vot la Ursus Evolution trebuie sa dati neaparat mai intai like la pagina Ursus Romania (http://www.facebook.com/UrsusRomania) chiar daca voi beti altfel de bere si abia apoi',0
'This sux... ca sa dati vot la Ursus Evolution trebuie sa dati neaparat mai intai like la pagina Ursus Romania... http://t.co/rIlcl4pE',1
