@relation 'TreeWorks'
@attribute Text string
@attribute opinion {0,1}
@data
'This sux... ca sa dati vot la Ursus Evolution trebuie sa dati neaparat mai intai like la pagina Ursus Romania... http://t.co/rIlcl4pE',1
'Pazea! La Beraria Ursus am batut recordul! Astept de 40 minute dupa o apa! Yey :/',1
'Si un exemplu de cum sa organizezi un concurs - Ursus. Am trimis niste coduri de pe capacele de bere si am castigat un telefon (scump la vremea aia - Galaxy S) ... In 5 zile aveam telefonul in mana dupa doar 1 convorbire telefonica si un mail de confirmar',0
'M-am incins rau de tot pe subiect si numai asta-mi umbla prin cap de-aseara! Am uita sa enumar urmatoarele: (si sigur revin, asta n-o sa se termine niciodata!) :-)\n\nDetergent de vase pasta Axion (o b l i g a t o r i u) \n\nBranza Fagaras Monor (drooling!)\n\n',0
'Buna dimineata, Ana!\n\nIti multumim pentru incredere.\n\nO zi frumoasa in continuare.\n\nEchipa URSUS',0
'In fiecare an, Readers  Digest face un studiu al carui obiectiv este sa identifice, pe anumite categorii de bunuri de larg consum, brandurile in care consumatorii au cea mai mare incredere.\nEi, si in seara asta, usor cherchelita binedispusa de mirosul de ',0
'confirm pozitiv: ursus e najpa, bergenbier fockin rulz.',1
'@boemul esti pus in situatia in care ai de ales intre peroni, ursus si redds. Esti dintre acei oameni carora ursus li se pare o bere naspa.\n\nWhat do?',1
'De curiozitate am cumparat o bere nemteasca de la Lidl. E adevarat ca nu mai retin numele, de fapt nu l-am retinut nici in acele momente sau cand am baut-o. Stiu doar ca pe eticheta scria ca este o bere care respecta normele nemtesti de fabricare a berii ',1
'Pentru ca ar fi prea mult de povestit despre cum s-a desfasurat ultimul weekend prelungit, am zis ca mai bine pun doar pozele si cu cateva explicatii langa fiecare. Nu va uitati daca sunteti la munca\nsau va e foame.\n1. Weekend-ul a inceput cu un cadou de',0
'Recunosc ca de-a lungu\' vremii nu am primit foarte multe cadouri de iepuras. Asta daca nu punem la socoteala hainele noi pe care mama avea grija atunci cand eram mica sa mi le cumpere pentru ca\nduminica sa le inoiesc cum se cuvine. Anul asta iepurasul a ',0
'pfoai, bine ma ca beti voi toti Ursus :)) @chinezu @axelandring @SorinNeagu @MoniSibisteanu',0
'@KenStash Ursus is tasty, yes :)',0
'Mi se pare corect. Ursus nici nu s-ar califica sa intre in competitie.',1
'""Melodia saptamanii""; de saptamana asta e, de fapt, mai multe. Sase, ca sa fiu precis.\nAcum fix doua saptamani, baietii de la Popa Sapka (pe care-i iubesc rau) au cantat, cum au stiut ei mai frumos, live la Radio Guerrilla. Azi am vazut ca intreaga presta',0
'\n\nIl citim de luni bune, suntem cu ochii pe el de fiecare data cand posteaza ceva, pentru ca daca bloguri de mamici sincere avem destul de multe in .ro cele de tatici lipsesc. Ta-su.blogspot.com insa face cat 10 bloguri de tati, asa ca am povestit cu Dedi',0
'@dorupanaitescu Trebuie sa vezi si Muzeul Etnografic in aer liber, cimitirul central, campusul USAMV Cluj si dupa o bere la Beraria Ursus:P',0
'@sdmahala :)))))))))) trec pe Ursus',0
'Astazi am semnat procesul verbal in urma efectuarii instructajului privind folosirea pubelelor de colectare a plasticului, hartiei si a sticlei amplasate in cancelarie si in salile de clasa. Bineinteles, instructajul a fost inexistent, ca doar nu venea se',1
'ursus black. not bad.',0
'@menetz E de pus pe lista. Pe Ursus nu-i stiam nasoli',1
'@Lorand nu, Ursus.',1
'Pentru ca Gigiu era ocupat, a ajuns la U Cluj Ursu. Aproape ca iti vine sa scrii Ursus, dar iti amintesti ca fabrica asta s-a desfiintat...Acum e bine la Universitatea, e liniste... Cu Ursu asta, cu care de-abia asteptam sa facem cunostinta, treburile s-a',1
'Excelenta, mai ales daca e oferita gratis. De obicei imi place s-o cumpar la doza, 6 pack musai, din hypermarket. Sunt un bautor de bere mediocru, nu fac patima din consumul acestei licori. Imi pica bine berea blonda, imi place si nefiltrata, berea neagra',0
'Simt un iz de bere. In online, ca pe langa mine il simt mai mereu. Prima data am simtit mirosu  acu vreo doua luni si am avut prima reactie. Tentativele continua si se ridica niste probleme. 1. Calitatea berii romanesti din ultima vreme, despre care am ma',1
'@yredan prefer heineken sau cel putin becks. m-am saturat de toata gama de genul tuborg, timisoreana, #ursus.',1
'Ei, compari si tu mere cu pere. Un barbat poate fi complimentat pentru tunsoare, haine elegante, pantofi etc. E interesant articolul da parca se simte ca-i umplutura pentru reclama de mai jos.\nRedds care-i defapt Ursus care a plecat din Cluj care nu face ',1
'O bere! Heineken, desigur !: Poate Ursus sa sponsorizeze si sa investeasca in publicitate online cat vrea. Pana ... http://t.co/NTd4IHV9',1
'                          h1 a:hover {background-color:#888;color:#fff ! important;}                          div#emailbody table#itemcontentlist tr td div ul {                                         list-style-type:square;                               ',1
'Poate Ursus  sa sponsorizeze si sa investeasca in publicitate online cat vrea. Pana departe mai are... foarte mult !  \n\n[Nikon D300; No Flash; Exposure time 1/30 sec; ISO 1600; Exposure Compensation 0.0; Lens aperture F.4.5]\n[Best beer]',1
'Poate Ursus sa sponsorizeze si sa investeasca in publicitate online cat vrea. Pana departe mai are... foarte mult ! [Nikon D300; No Flash; Exposure time 1/30 sec; ISO 1600; Exposure Compensation 0.0; Lens aperture F.4.5] [Best beer] \n http://networkedblog',1
'Poate Ursus sa sponsorizeze si sa investeasca in publicitate online cat vrea. Pana departe mai are… foarte mult ! ;) http://t.co/09WRQ0b6',1
'Poate Ursus sa sponsorizeze si sa investeasca in publicitate online cat vrea. Pana departe mai are... foarte mult ! ;)',1
'N-am idee de ce producatorul Ursus Breweries SA a plecat urechea spre nu-stiu-ce zvonuri si a cam renuntat la Stejar Pils in favoarea Stejar Strong... adica s-a renuntat la un pils rezonabil, mult mai bine lucrat decat marca Ursus si ... Continue reading',1
'Ursus nefiltrata aramie.neasteptat de buna!',0
'Casa de Cultura a Municipiului Cluj-Napoca impreuna cu Facultatea de Stiinte Economice si Gestiunea Afacerilor, din cadrul Universitatii Babes-Bolyai, ofera publicului o expozitie inedia care prezinta Romania secolului XX prin intermediul afisului publici',0
'Mda si iar Ursus nu are nefiltrata... Oh joy...',1
'Protestez fata de Ursus pt ca nu fac bere cum e Leffe.',1
'Monica, adevar graiesti cu masura si cu berea facuta bine. Dupa degustarile intamplatoare pe care le-am avut, mi-am schimbat si eu parerea, dar tot n-o sa am vedeti vreodata cu o halba de bere in fata, nici macar intr-un pub - cel mult degustare:) \nCat d',0
'pentru ca berea cea mai buna din romania se numeste ursus iar celelalte au gust de apa minerala si aleg ursus daca se poate ursuleti la 0.33 :))',1
'Na poveste: plecat de vreo 3 luni in state, vine nevasta-mea la mine si imi aduce 2 cutii de Ursus! Raiu! Incui usa, trag jaluzelele, trag fotoliul in fata tv, pun un dvd cu Maria Dragomiroiu, desfac cutia, torn in pahar extaziat....si o aud pe nevasta-me',0
'Am un mic comentariu: nu sunt de acord deloc cu variantele la a 2a intrebare. Si as putea sa spun exact de ce:\n1. Azi pot avea 20 de lei in buzunar, iar maine 100. In functie de buget aleg si localu, dar si berea.\n2. Nu toate localurile au toate tipuril',0
