@relation 'TreeWorks'
@attribute Text string
@attribute opinion {0,1}
@data
'Multumim Companiei Danone pentru ca l-a ajutat pe Mos Craciun sa aduca cadourile potrivite copiilor si tinerilor internati pe sectiile de onco-pediatrie din Institutul Oncologic Bucuresti si Spitalul de Copii Marie Curie! Va dorim tuturor un An Nou ferici',0
'Multumim Companiei Danone pentru bucuriile de Craciun',0
'Mulţumesc pentru cadouri: \n		Într-o ordine oarecare: Vodafone, Danone, Nescafe, Panasonic, Nokia, Prestigio, Sta... http://t.co/FbgF2iq7',0
'Intr-o ordine oarecare: Vodafone, Danone, Nescafe, Panasonic, Nokia, Prestigio, Standout, Red Bull, Pepsi, MXShop, eMag, Okian, Evomag, iLeo, Imagistica, Gusto, Delaco, F64, The Practice, Graffiti PR, RMGC, McCann PR, Petrom, Webstyler, Euromotor, Sony, E',0
'Gratie scrisoricii mele pentru Mos Craciun , el a venit anul asta la mine tare incarcat, semn ca am fost si cuminte. Primul Mos, cel de la www.firedepoveste.ro  a venit cu o surpriza tare frumoasa, anume o pereche de manusele fara degete, ca sa pot sa con',0
'Am uitat sa va arat ce mi-a adus Mos Activia Romania din parte Danone. :) O ciocolata incredibil de buna, un... http://t.co/LCWTUxXS',0
'Mos(ii) Craciun a(u) venit mai devreme anul acesta la mine, cu daruri care de care mai misto. Am ales sa scriu un post intreg despre cadourile mele de Craciun, in loc sa multumesc pentru ele pe Twitter ori Facebook.\nDe la Georgiana Gheorghe de la Danone a',0
'fck. cand tocmai am plecat :(""@psaico: f fain cadoul de la Danone. multumesc http://t.co/SjnKONne""',0
'Cadourile au inceput de mult timp sa curga, insa cele primite ieri sunt cu atat mai deosebite pentru ca vestesc vacanta. Da, oficial de joi de la pranz sunt in vacanta, si nu o vacanta scurta, ci chiar pana miercuri! Am suficient timp sa ma pregatesc pent',0
'Multumesc Danone pentru Pachetelul de Craciun! Cc: #obiceiurisanatoase :D http://t.co/ngtB9oJ4',0
'f fain cadoul de la Danone. multumesc http://t.co/OU3xehed',0
'Am o tona de chestii importante despre care ar fi trebuit sa scriu de o saptamana si ceva! Dar asa e la final de an, totul explodeaza ca la revolutiile de iasomie! \n1. Blogosfera clujeana nu mai poarta de multa vreme pemparsi. Sigina, bloggerita care scri',0
'Danone a oferit cadouri pentru papile gustative cu pretentii:) yumm!',0
'@groparu Si noi nu am primit nimic !!! Rusine, Danone !',1
'Multumiri Mosului Danone Romania! O sa fie un Craciun dulce, dulce si sanatos! Multumiri si catre @standoutro.Am fost cuminte anul asta! :P',0
'RT @CucuVlad: Cadoul de la Danone este genial! Ciocolata rupe normele. Recomand www.paulaana.ro. Iti bati c8iii!',0
'Cadoul de la Danone este genial! Ciocolata rupe normele. Recomand www.paulaana.ro. Iti bati c8iii!',0
'RT @FatadinPort: Multumesc frumos celor de la Danone pentru cadou!!! :X  http://t.co/FKcqbzj0',0
'Multumesc frumos celor de la Danone pentru cadou!!! :X  http://t.co/FKcqbzj0',0
'Mulțumesc @Standoutro și Danone pentru urarea tradițională de sărbători! :) Sărbători fericite și vouă! http://t.co/Q4aQDr79',0
'Ne-a batut la usa ieri Mos Craciun deghizat in curier ce ne-a transmis din partea companiei dulci Danone o minunata urare si ne-a inmanat o traistuta fermecata plina cu delicatesuri traditionale: confitura din prune de Voinesti in must de struguri, zacusc',0
'Stiu ca de obicei decembrie e luna cadourilor, insa la mine s-a nimerit ca in vorba aia ""nu aduce anul ce aduce ceasul"";: am primit o super felicitare de la Monica Danone impreuna cu Bacania Veche si PaulaAna mi-au trimis azi un pachetel tare frumos pentr',0
'Cu ocazia sarbatorilor de iarna am primit de la Danone Romania un cadou foarte, dar foarte original si delicios.Poza nu am sa dovedesc dar sper sa ma credeti pe cuvant. Am spus ca a fost un cadou original pentru ca a avut o tematica speciala si anume, a f',0
'Multumesc Danone pentru surpriza!',0
'Ce draguta e jucarioara  3.\nSi eu azi am primit o surpriza neasteptata de la Danone..chiar m-a surprins ca n-am avut niciodata vreo campanie cu ei si nici n-am cunoscut pe nimeni care lucreaza acolo..dar a fost un gest frumos si o surpriza placuta tocmai',0
'Şi-am venit acasă după o zi de muncă agitată, cam ca toate din această perioada. Şi aflu că Danone împreună cu... http://t.co/Fxw8jyLq',0
'Şi-am venit acasă după o zi de muncă agitată, cam ca toate din această perioada. Şi aflu că Danone împreună cu... http://t.co/g0opTkuN',0
'Mulţumesc celor de la DANONE pentru cadoul primit. Poză nu am dar credeţi-mă pe cuvânt e un cadou original şi delicios. cc. @ElenaCiric',0
'@nashu de acum încolo când ai o pomană știi unde să o îndrepți. Dar să te semnezi Danone =)) cc @The_Dorian',1
'Am primit produse eco de la Danone cadou, de acu trebuie să mă apuc și eu de #obiceiurisanatoase oare? multumesc @georgianagh',0
'A venit Mosu\' si de la Danone, multumim Mosului pentru darnicie!',0
'Simt nevoia să adresez un mare mulţumesc Danone Romania pentru bunătate de cadou de Crăciun. Mulţumesc @standoutro',0
'A ajuns Mos Craciun de la Danone cu bunataturi de la @bacaniaveche. Numai delicatese! Multumesc! http://t.co/08Q0L9RT',0
'A ajuns Mos Craciun de la Danone cu bunataturi de la @bacaniaveche. Numai delicatese! Multumesc! http://t.co/jtnGV8wd',0
'RT :) @startups_ro How cool - am primit cadouri de la @BacaniaVeche via Danone ;)',0
'How cool - am primit cadouri de la @BacaniaVeche via Danone ;)',0
'hehehe, tocmai am primit din partea Danone o traista plina de bunatati de la Bacania Veche. Multumesc, Georgiana! #obiceiurisanatoase :)',0
'Si care mi-au venit asa pe la ureche:\n- Ciobez pentru tine. Din pacate nu pot ajunge, dar cred ca o sa fie mega-distractie (plus un mare bravo de la mine pentru originalitatea ideii). Via Fishnews.\n- chiar si bloggerii ""coltosi""; ""are""; inima. Cancerul se',0
'Io mananc cam de toate, dar nici chiar atat de  bio . Nu halesc iaurturile de la danone, pe motiv de cat is de sanatoase, mai ales ca au Napolact chestii absolut mancabile. Sau Mili. Imi place sa-mi fac salata cu diverse chestii si un dressing (invatat de',1
'In timp ce voi cititi aceste randuri, eu sunt in drum spre Clouge (cu Skoda Octavia Tour, care imi place place, creca n-o mai duc inapoi la Porsche Timisoara), pentru ca miercuri se intampla SMSummit cu numarul 2. Numarul 2 acolo, ca intre timp a mai fost',0
'RT @MartaUsurelu: Multumim Danone, Ursus, TheGroup si Banca Transilvania pentru sustinere! #smscluj',0
'RT @MartaUsurelu: Multumim Danone, Ursus, TheGroup si Banca Transilvania pentru sustinere! #smscluj',0
'@smarranda Marketing agresiv, altfel nu-mi explic. Plus ca lumea stia de brandul Danone inainte de a-i avea in Romania.',1
'@The_Dorian Tot nu inteleg succesul Danone la noi pe piata. Ok, la inceput nu erau prea multe optiuni. Dar ulterior?',1
'Si eu sustin opinia Mariei. Am cumparat produse de la ei si nu mi-a placut gustul, ca era artificial. Imi plac alea de la Napolact, Covalact , unele de la Raraul. Eu imi aduc aminte si gustul produselor naturale :lol: cu produsele de la Tnuva il uiti comp',1
'Da! Tnuva cred ca avea , ca si Danone de fapt, ca nici astia nu sunt mai breji vreo 10% lapte in produsele lor. Tu ai consumat vreodata produsele de la Tnuva? Sunt pline de chimicale! Romanii aia de care spuneti voi ca sunt prosti si puturosi s-au prins s',1
